objectid,parentid,title,pi,contributors,organizations,date,date_ended,status,description,subject,website,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
amp,,Amplify Podcast Network,Hannah McGregor,Siobhan McMenemy; Amplify Podcast Network,Publishing @SFU; Wilfrid Laurier University Press,2020-07,,Active,This project supports the development of an open source scholarly podcast preservation tool. The project aims to develop an institutionally-integrated tool researchers can use to archive their episodes with rich metadata while supporting the preservation of their podcasts within institutional repositories.,Podcasts;Digital preservation,https://amp.dhil.lib.sfu.ca,https://github.com/sfu-dhil/amplify,,record,compound_object,eng,GNU General Public License v2.0,https://github.com/sfu-dhil/amplify/blob/main/LICENSE,compound_object,,/objects/small/amplify-logo_sm.webp,/objects/thumbs/amplify-logo_th.webp,Amplify Podcast Network logo,
amp_logo,amp,Amplify Podcast Network logo,,,,,,,,,,,,Image;StillImage,image/png,,,,image,/objects/amplify-logo.png,/objects/small/amplify-logo_sm.webp,/objects/thumbs/amplify-logo_th.webp,Amplify Podcast Network logo,
amp_screenshot_1,amp,AMP login,,,,,,,,,,,,Image;StillImage,image/png,,,,image,/objects/amp_1.png,/objects/small/amp_1_sm.webp,/objects/thumbs/amp_1_th.webp,AMP login,
amp_screenshot_2,amp,AMP homepage,,,,,,,,,,,,Image;StillImage,image/png,,,,image,/objects/amp_2.png,/objects/small/amp_2_sm.webp,/objects/thumbs/amp_2_th.webp,AMP homepage,
amp_screenshot_3,amp,AMP podcast screen,,,,,,,,,,,,Image;StillImage,image/png,,,,image,/objects/amp_3.png,/objects/small/amp_3_sm.webp,/objects/thumbs/amp_3_th.webp,AMP podcast screen,
amp_screenshot_4,amp,AMP podcast episode screen,,,,,,,,,,,,Image;StillImage,image/png,,,,image,/objects/amp_4.png,/objects/small/amp_4_sm.webp,/objects/thumbs/amp_4_th.webp,AMP podcast episode screen,
fragmenting,,Fragmenting the West Coast through Asian Canadian Poetry,Rina Garcia Chua,,Department of English,2023-02,2024-06,Completed,"This project examines how contemporary Asian Canadian poets relate their experiences of migration, culture, and the environment on the West Coast. The project will concentrate on the writings of a diverse group of prominent and emerging authors. Through a close analysis of their poems and related writing, ""<a href=""https://dhil.lib.sfu.ca/fragmenting"" target=""_blank"">Fragmenting the West Coast Through Asian Canadian Poetry</a>"" constructs a radical, revisionary cartography of British Columbia that demonstrates the cultural and historical importance of the unique narratives of Asian Canadians in this region.",Poetry; Asian Canadian; British Columbia,https://fragmenting.dhil.lib.sfu.ca,https://github.com/sfu-dhil/fragmenting,,record,compound_object,eng,,,compound_object,,/objects/small/fragmenting_1_sm.webp,/objects/thumbs/fragmenting_1_th.webp,Fragmenting the West Coast map view,
fragmenting_screenshot_1,fragmenting,Map view,,,,,,,,,,,,Image;StillImage,image/png,,,,image,/objects/fragmenting_1.png,/objects/small/fragmenting_1_sm.webp,/objects/thumbs/fragmenting_1_th.webp,Map view,
fragmenting_screenshot_2,fragmenting,"""Destinations: for Stella"" selected  ",,,,,,,,,,,,Image;StillImage,image/png,,,,image,/objects/fragmenting_2.png,/objects/small/fragmenting_2_sm.webp,/objects/thumbs/fragmenting_2_th.webp,"""Destinations: for Stella"" selected  ",
fragmenting_screenshot_3,fragmenting,"""beholden: poem as long as the river"" selected",,,,,,,,,,,,Image;StillImage,image/png,,,,image,/objects/fragmenting_3.png,/objects/small/fragmenting_3_sm.webp,/objects/thumbs/fragmenting_3_th.webp,"""beholden: poem as long as the river"" selected",